"Name","State","Notes","User","Tags","Created","Runtime","Sweep","arch","batch_size","dropout","heads","hidden_dim","lr","max_epochs","num_layers","patience","pool","seed","jk_mode","lr_scheduler","n_params","notebook","aggr","edge_feat_dim","edge_hidden","n_edge_params","use_random_edges","best_epoch","best_val_pr_auc","test_confusion","test_f1","test_pr_auc","test_precision","test_recall","test_roc_auc","test_threshold","train/loss","val/pr_auc","val/roc_auc","wall_seconds","epoch","pruned"
"arch: transformer","crashed,finished","-","","","2026-02-16T02:50:19.000Z","44995","","transformer","","0.21521739130434783","2.782608695652174","200.34782608695653","0.001399252647247839","","2.739130434782609","","[""attention"",""max""]","","[""cat"",""none""]","","755419.7826086957","wb03c3","","89.3913043478261","","","","28.22222222222222","0.3956886149580509","[[365,188],[385,168],[388,165],[396,157],[415,138],[23550,259],[23644,165],[23688,121],[23693,116],[23732,77]]","0.38266168019380076","0.35953320616925144","0.533800599520259","0.30198915009041594","0.8978728629076254","0.902108351389567","0.3713712586713095","0.336034628124678","0.8817445238996922","2370.1355690161386","23.608695652173914","true"
"arch: gine","finished","-","","","2026-02-15T15:46:38.000Z","77666","","gine","","0.185","2","179.2","0.0014885483632168031","","2.3333333333333335","","[""attention"",""max""]","","[""cat"",""none""]","","261425.53333333333","wb03c3","","80.66666666666667","","","","28.235294117647058","0.4625453381118548","[[303,250],[314,239],[321,232],[345,208],[351,202],[23574,235],[23629,180],[23636,173],[23661,148],[23690,119]]","0.4438385043413633","0.42055085027057076","0.5468126972584246","0.3880438251249867","0.9073755691128556","0.8935575730660382","0.32282599041602006","0.40396594230988436","0.9025442867954235","2529.341396850698","31.433333333333334","true"
"arch: null","finished,killed","-","","","2026-02-15T12:33:21.000Z","11528","","","","0.18","","128","0.0011709651939502148","","1.6","","[""attention"",""max""]","","[""cat"",""none""]","","2663541.8","wb03c2","[""add"",""mean""]","","102.4","2594585.6","false","24","0.39389175281501027","[[362,191],[367,186],[378,175],[23436,373],[23647,162],[23672,137],[23695,114]]","0.3937908218250786","0.3714638437488841","0.5098922522418899","0.3286618444846293","0.8987593359965311","0.9349685907363892","0.2429281980564802","0.3465310648105973","0.8897385400118084","2105.766414821148","42.4",""
"arch: gatv2","finished","-","","","2026-02-13T13:14:52.000Z","167349","","gatv2","256","0.21132075471698114","2.018867924528302","171.47169811320754","0.0010633268314067144","80","2.4150943396226414","15","[""attention"",""max"",""mean""]","7","[""cat"",""max"",""none""]","[""cosine"",""none""]","181150.13043478262","wb03b","","","","","","48.86363636363637","0.5230901899067901","[[305,248],[319,234],[330,223],[332,221],[345,208],[23626,183],[23671,138],[23684,125],[23698,111],[23741,68]]","0.4835912171546255","0.48379382681683525","0.6110617612550764","0.40292618773631433","0.9290994919724828","0.9139287282120098","0.3084638791176226","0.4471962430810621","0.9192019338448342","1584.624068010937","41.391304347826086","true"
"arch: sage","finished","-","","","2026-02-13T01:54:21.000Z","194827","","sage","256","0.1702127659574468","1.6382978723404256","133.4468085106383","0.001165441118628365","80","2.74468085106383","15","[""attention"",""max"",""mean""]","7","[""cat"",""none""]","[""cosine"",""none""]","107627.4705882353","wb03b","","","","","","42.69230769230769","0.512536274972574","[[313,240],[319,234],[338,215],[344,209],[347,206],[23608,201],[23625,184],[23666,143],[23671,138],[23698,111]]","0.46538739692276443","0.4557228375433033","0.5780917718719297","0.39143135345666996","0.9224920504239409","0.9167009271108187","0.33967523033700264","0.4139314793305619","0.9139861282330319","1416.9893379394825","20.294117647058822","true"
"arch: gcn","finished","-","","","2026-02-13T07:28:30.000Z","20781","","gcn","256","0.20500000000000002","2","145.06666666666666","0.0015016174640462314","80","2.566666666666667","15","[""max"",""mean""]","7","","","57934.8","","","","","","","41.6","0.43964991004990434","[[342,211],[350,203],[351,202],[354,199],[360,193],[23603,206],[23626,183],[23628,181],[23634,175],[23660,149]]","0.42820986189348387","0.420285416622185","0.5252999145148979","0.36202531645569624","0.9183369122728295","0.8834557294845581","0.3635128081666071","0.35054793798810674","0.904205323139914","1400.9981897115708","",""
