Model,Source,PR-AUC,ROC-AUC,F1,Params
LogReg (pooled),Wb02,0.15393656176824935,0.8895014930834808,0.2510612492419648, 
"GraphSAGE (default, Wb02)",Wb02,0.40115606033173257,0.9136987342835466,0.41373671300081766, 
GraphSAGE (tuned),Wb03,0.484792650808666,0.9234238089946839,0.49056603773584906,"94,466"
GCN (tuned),Wb03,0.4199080576417323,0.9170058703316789,0.42203742203742206,"144,386"
GATv2 (tuned),Wb03,0.4964250757835543,0.928434336947818,0.48370136698212407,"222,466"
