size_bucket,n,fid_plus_mean,fid_plus_std,fid_minus_mean,fid_minus_std,method
2-node,69,0.019098239487705185,0.15207257797473786,0.01938533424275255,0.17523901034779538,gnnexplainer
3-node,64,0.0009205564861996956,0.18063400388643436,0.02063022100258359,0.12835365319825662,gnnexplainer
4+-node,67,-0.0009055734528862933,0.07559830724285176,0.018424512190877203,0.10487672351565262,gnnexplainer
