fidelity_plus,fidelity_minus,sparsity,ccId
1.7762184143066406e-05,0.0,0.5,84477
0.0,0.0005930066108703613,0.5,95134
-7.748603820800781e-05,2.3305416107177734e-05,0.5,91399
0.0,0.000276029109954834,0.5,108775
0.0,0.003306865692138672,0.5,108822
2.300739288330078e-05,0.0,0.5,68357
1.8477439880371094e-06,0.0,0.5,120548
0.0,4.470348358154297e-06,0.5,104133
8.863210678100586e-05,0.0,0.5,113283
0.0,4.0531158447265625e-06,0.5,95231
4.607439041137695e-05,0.0,0.5,101897
2.3066997528076172e-05,0.0,0.5,114236
0.0,1.1920928955078125e-07,0.5,101834
-0.0018911361694335938,0.007380068302154541,0.5,53526
0.00016391277313232422,0.0,0.5,44885
0.15011996030807495,0.000583648681640625,0.5,53837
0.00015312433242797852,0.0,0.5,54672
0.10278844833374023,-0.0010062456130981445,0.5,42463
0.0017709732055664062,0.0,0.5,42869
-9.5367431640625e-07,4.0531158447265625e-06,0.5,55899
5.364418029785156e-06,2.2649765014648438e-06,0.5,57549
-4.291534423828125e-06,0.00027883052825927734,0.5,63045
4.6372413635253906e-05,0.0,0.5,45343
-8.106231689453125e-06,1.2874603271484375e-05,0.5,47432
0.0003860592842102051,-6.574392318725586e-05,0.5,53672
-0.0006054043769836426,0.006310164928436279,0.5,44056
2.5033950805664062e-06,1.4185905456542969e-05,0.5,14414
-1.1086463928222656e-05,1.615285873413086e-05,0.5,15409
-1.1920928955078125e-06,-1.3113021850585938e-06,0.5,37591
0.0005962252616882324,-6.330013275146484e-05,0.5,11488
0.00032967329025268555,-0.0003935694694519043,0.5,4729
-0.002975761890411377,0.0960356593132019,0.5,16902
3.11732292175293e-05,3.3974647521972656e-05,0.5,19810
-7.224082946777344e-05,-8.83340835571289e-05,0.5,16569
-8.541345596313477e-05,-9.435415267944336e-05,0.5,25327
-2.1457672119140625e-06,5.7220458984375e-06,0.5,13123
-0.0019091963768005371,-0.0010293126106262207,0.5,22869
0.0005594491958618164,0.0012475252151489258,0.5,10268
0.012408018112182617,0.002956211566925049,0.5,4171
0.0,0.004074215888977051,0.5,118449
-0.0010761618614196777,0.3543975353240967,0.5,91672
0.0030022859573364258,0.0,0.5,70108
0.0421561598777771,-0.005277395248413086,0.5,94039
-0.025283336639404297,4.667043685913086e-05,0.5,75208
-0.0021205544471740723,0.0,0.5,73181
-0.0015310049057006836,0.0011385679244995117,0.5,91181
-0.00390625,0.05354762077331543,0.5,58201
0.05601036548614502,0.0,0.5,54760
0.044877827167510986,-0.00400853157043457,0.5,59414
-0.03648936748504639,0.05547165870666504,0.5,57759
-0.0013439059257507324,0.01568913459777832,0.5,54669
0.007966101169586182,-0.0005304813385009766,0.5,12427
0.0019448399543762207,0.0020449161529541016,0.5,20240
0.017121851444244385,0.08614283800125122,0.5,10968
0.005694210529327393,0.14324378967285156,0.5,20846
0.0042340755462646484,-0.004759252071380615,0.5,14457
-0.004895389080047607,-0.005524814128875732,0.5,13764
-0.0015115737915039062,0.0033971071243286133,0.5,71689
-0.003731369972229004,0.38562560081481934,0.5,9998
-0.013025343418121338,0.33159464597702026,0.5,91948
0.0004936456680297852,0.0,0.5,119926
-0.00431591272354126,0.2652024030685425,0.5,86915
0.04620230197906494,0.0,0.5,117045
0.00021713972091674805,0.0,0.5,74806
0.00647968053817749,-0.013153016567230225,0.5,68384
0.0,0.0007967948913574219,0.5,98767
0.0,0.0006651878356933594,0.5,110297
0.003923535346984863,0.0,0.5,121224
0.01922374963760376,-3.159046173095703e-06,0.5,93603
0.001123189926147461,0.0,0.5,98854
0.09834998846054077,-0.010097026824951172,0.5,112429
0.7176726758480072,-0.0026377439498901367,0.5,66482
0.0,0.6779500842094421,0.5,89127
0.02243250608444214,0.21462410688400269,0.5,47323
-2.3126602172851562e-05,-7.128715515136719e-05,0.5,61300
-0.0021011829376220703,0.004861593246459961,0.5,59476
-0.0006948709487915039,-0.0006948709487915039,0.5,62367
0.0006065964698791504,-0.001115262508392334,0.5,62805
0.014279663562774658,0.042771100997924805,0.5,45622
0.03513377904891968,0.05500531196594238,0.5,44703
0.00028896331787109375,0.0018330216407775879,0.5,50372
0.022059202194213867,0.018723607063293457,0.5,53077
0.008304893970489502,-0.0006391406059265137,0.5,46741
0.00920337438583374,0.009845197200775146,0.5,60900
0.03860211372375488,0.0002802610397338867,0.5,57814
0.9332527052611113,-0.008459866046905518,0.5,59282
-0.019753634929656982,-0.0012906193733215332,0.5,40445
-0.0032088160514831543,0.029783964157104492,0.5,30155
-0.003143787384033203,0.016283035278320312,0.5,17437
0.0042893290519714355,0.010615289211273193,0.5,15305
0.021600663661956787,0.018181681632995605,0.5,36581
-0.0013543963432312012,-0.0013685226440429688,0.5,9428
-0.009959697723388672,0.015609800815582275,0.5,11731
0.0708196759223938,-0.008501052856445312,0.5,28931
-0.0038228631019592285,0.050710856914520264,0.5,28995
-0.00022685527801513672,0.010489046573638916,0.5,16019
0.003510594367980957,-0.0027303695678710938,0.5,9550
-0.005672097206115723,0.00020563602447509766,0.5,23863
-0.0014027953147888184,0.048433005809783936,0.5,7739
0.0,0.008968710899353027,0.5,115865
-0.021277010440826416,0.027143001556396484,0.5,98777
-0.02486276626586914,5.960464477539063e-08,0.5,94618
0.02807217836380005,-0.0851852297782898,0.5,72861
-0.40068310499191284,0.0,0.5,82580
-0.023501992225646973,0.0007911324501037598,0.5,87815
0.014045238494873047,-0.00017201900482177734,0.5,88568
-0.031036376953125,0.0,0.5,105568
0.0,-0.31705546379089355,0.5,68806
3.039836883544922e-06,-0.10512584447860718,0.5,106700
-0.0839686393737793,0.0,0.5,64910
-0.27753087878227234,0.1757643222808838,0.5,93075
0.0,-0.2851617932319641,0.5,66263
0.023593902587890625,0.0,0.5,116561
-0.007361955009400845,-0.002016752026975155,0.5,57108
-0.020887553691864014,0.5941659212112427,0.5,54742
-0.0015769600868225098,0.002846658229827881,0.5,47334
-0.00047144375275820494,-0.004324564593844116,0.5,53089
-0.20355471968650818,-0.145919531583786,0.5,57393
-0.005027115345001221,0.26545995473861694,0.5,42180
0.006360650062561035,0.01694786548614502,0.5,62339
0.08544343709945679,-0.030206263065338135,0.5,50436
-0.1771969497203827,0.1025463342666626,0.5,58761
0.0012409687042236328,-0.13214010000228882,0.5,42224
-0.10385912656784058,-0.2591668367385864,0.5,53361
-0.5526124089956284,-0.1252729445695877,0.5,58342
0.08087235689163208,0.12710422277450562,0.5,49084
-0.008256614208221436,-0.1404430866241455,0.5,37803
0.04222923517227173,-0.01791560649871826,0.5,13806
-0.1427750587463379,1.0788440704345703e-05,0.5,16359
0.02222275733947754,0.0638577938079834,0.5,35000
-0.1760087013244629,0.012646973133087158,0.5,33411
0.042263567447662354,-0.09424543380737305,0.5,36647
0.01856750249862671,0.000989079475402832,0.5,34802
-0.06347346305847168,-0.013758093118667603,0.5,30352
0.0860629677772522,0.021791011095046997,0.5,22337
-0.03378528356552124,-0.0005638599395751953,0.5,3468
0.004396483302116394,-0.07317477092146873,0.5,16001
-0.09563010931015015,0.014056026935577393,0.5,16686
0.07015186548233032,-0.04234170913696289,0.5,40954
-0.0055109921377152205,0.00019016931764781475,0.5,34064
0.0,-1.1401500188412683e-08,0.5,122645
0.0,-0.1768617480993271,0.5,118176
0.0,-0.24774949252605438,0.5,74406
-0.019535213708877563,0.05091828107833862,0.5,71294
-0.16641405352856964,2.3283064365386963e-09,0.5,119038
0.09953707456588745,0.0,0.5,86316
3.5762786865234375e-07,-0.5950117260217667,0.5,119434
-0.16941221430897713,0.0,0.5,98544
0.389095077291131,0.16045591235160828,0.5,113962
-0.0007255114032886922,0.0,0.5,90830
-0.1040567452146206,7.337157148867846e-05,0.5,52592
-2.6501174943405204e-07,-5.378605692385463e-06,0.5,60510
-0.12122777849435806,-0.058009952306747437,0.5,45332
-0.7773877270519733,-0.002171684056520462,0.5,63174
-6.266363925533369e-07,6.750178727088496e-08,0.5,62777
-2.627260982990265e-06,1.1756375897675753e-05,0.5,60554
-2.1463706463206722e-14,-2.1940294633177038e-14,0.5,45429
-0.0008978289552032948,0.0001827860251069069,0.5,56908
-4.1944702388718724e-05,-1.2944045010954142e-05,0.5,50357
-5.587935447692871e-09,-0.08794797956943512,0.5,55541
-0.0236130952835083,0.014889240264892578,0.5,29235
-0.0022118159104138613,-0.0004904448287561536,0.5,19052
0.004712104797363281,-0.0017336010932922363,0.5,19642
-0.008202135562896729,-0.012694716453552246,0.5,34498
5.092215724289417e-05,-0.00011723476927727461,0.5,8849
-0.020958080887794495,0.006227739155292511,0.5,24959
-0.12411093711853027,-0.06336450576782227,0.5,14397
-6.218768248800188e-06,3.947970981243998e-06,0.5,18849
0.02343802899122238,-0.03693898767232895,0.5,23395
-0.19920073449611664,0.035541728138923645,0.5,37462
0.0,-0.00545048713684082,0.5,89694
0.18425101041793823,0.0,0.5,72885
-0.004556775093078613,0.3453744053840637,0.5,102099
0.7418163530528545,0.6853343397378922,0.5,114690
0.019560635089874268,0.0,0.5,98987
0.12325888872146606,-0.09308648109436035,0.5,117014
-0.008534133434295654,-0.041293978691101074,0.5,102232
0.0034300684928894043,-0.011314988136291504,0.5,69296
0.032815754413604736,0.20214152336120605,0.5,105379
0.00023424625396728516,0.03186291456222534,0.5,94441
0.15628445148468018,-0.0007005929946899414,0.5,49420
0.042187273502349854,-0.04993271827697754,0.5,45221
-0.08162599802017212,0.019717872142791748,0.5,60450
0.2416902780532837,-0.016746044158935547,0.5,59553
0.011403441429138184,0.3761594295501709,0.5,53447
0.01731032133102417,-0.17518192529678345,0.5,47941
0.06605494022369385,-0.005401730537414551,0.5,62039
0.10070914030075073,0.4961062967777252,0.5,48893
-0.01999521255493164,-0.02049940824508667,0.5,55452
0.033725738525390625,-0.03649461269378662,0.5,56700
-0.06006753444671631,-0.0921676754951477,0.5,30760
0.029729783535003662,0.04349619150161743,0.5,29265
0.45958849787712097,0.6669789999723434,0.5,11541
0.044043779373168945,0.19989651441574097,0.5,10461
-0.1073065996170044,-0.03388082981109619,0.5,18022
0.042594194412231445,0.04507803916931152,0.5,29580
0.009626626968383789,-0.02455127239227295,0.5,33734
0.014011025428771973,-0.0816240906715393,0.5,13501
0.005002021789550781,-0.0424504280090332,0.5,34697
0.002872943878173828,-0.010059177875518799,0.5,23311
